"coc_number","coc_name","Organization","total_spending_coc"
"RI-500","Rhode Island Statewide CoC","cdbg_entitlement",2153044900
"TX-600","Dallas City & County, Irving CoC","hud_hopwa",2122643596.04509
"TX-600","Dallas City & County, Irving CoC","home",2120572456.44551
"MD-509","Frederick City & County CoC","hcv",2112965100
"NY-511","Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC","hcv",2101222200
"MA-515","Fall River CoC","hcv",2082884577.95367
"FL-501","Tampa/Hillsborough County CoC","cdbg_entitlement",2081971400
"AZ-501","Tucson/Pima County CoC","coc",2072880700
"PA-512","York City & County CoC","hcv",2067495400
"NJ-506","Jersey City, Bayonne/Hudson County CoC","cdbg_entitlement",2060667500
"FL-600","Miami-Dade County CoC","elderly",2032753400
"WI-500","Wisconsin Balance of State CoC","cdbg_entitlement",2031242900
"NY-505","Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC","coc",2024512300
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","coc",2023745700
"WA-507","Yakima City & County CoC","hcv",1984676400
"CA-609","San Bernardino City & County CoC","coc",1970896700
"MO-501","St. Louis City CoC","coc",1959885500
"FL-605","West Palm Beach/Palm Beach County CoC","cdbg_entitlement",1954556200
"VA-603","Alexandria CoC","elderly",1945707900
"OR-501","Portland, Gresham/Multnomah County CoC","cdbg_entitlement",1939100200
"TX-503","Austin/Travis County CoC","hud_hopwa",1934835300
"OH-503","Columbus/Franklin County CoC","cdbg_entitlement",1932519941.90966
"MO-600","Springfield/Greene, Christian, Webster Counties CoC","hcv",1927282900
"TX-700","Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC","elderly",1926355268.8394
"WV-501","Huntington/Cabell, Wayne Counties CoC","hcv",1920534700
"PA-500","Philadelphia CoC","hud_hopwa",1916935800
"WI-502","Racine City & County CoC","hcv",1914970800
"MN-506","Northwest Minnesota CoC","hcv",1903545600
"VA-601","Fairfax County CoC","coc",1902024300
"PA-506","Reading/Berks County CoC","hcv",1896968300
"CA-602","Santa Ana, Anaheim/Orange County CoC","home",1889651800
"TX-503","Austin/Travis County CoC","cdbg_entitlement",1880471830.72099
"MD-502","Harford County CoC","hcv",1869337400
"MA-516","Massachusetts Balance of State CoC","cdbg_entitlement",1863306498.11838
"FL-514","Ocala/Marion County CoC","hcv",1858594300
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","coc",1848661600
"MD-601","Montgomery County CoC","coc",1842944800
"CA-501","San Francisco CoC","elderly",1842848800
"NC-503","North Carolina Balance of State CoC","elderly",1831515200
"VA-602","Loudoun County CoC","hcv",1830410800
"NJ-501","Bergen County CoC","cdbg_entitlement",1825187100
"OH-508","Canton, Massillon, Alliance/Stark County CoC","hcv",1824393400
"MD-506","Carroll County CoC","hcv",1822580900
"MO-501","St. Louis City CoC","grrp_comp",1.816e+09
"CA-514","Fresno City & County/Madera County CoC","coc",1815117300
"OH-507","Ohio Balance of State CoC","elderly",1814048656.8438
"IN-503","Indianapolis CoC","cdbg_entitlement",1811162700
"MN-501","St. Paul/Ramsey County CoC","coc",1810585800
"IL-500","McHenry County CoC","hcv",1806120456.82275
"CA-509","Mendocino County CoC","hcv",1801191100
"CA-604","Bakersfield/Kern County CoC","cdbg_entitlement",1795450900
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","cdbg_entitlement",1785101700
"MI-508","Lansing, East Lansing/Ingham County CoC","coc",1784408895.29031
"FL-505","Fort Walton Beach/Okaloosa, Walton Counties CoC","hcv",1771257200
"UT-500","Salt Lake City & County CoC","coc",1766332917.08028
"OH-502","Cleveland/Cuyahoga County CoC","home",1757237200
"CO-503","Metropolitan Denver CoC","home",1742363023.77906
"LA-503","New Orleans/Jefferson Parish CoC","hud_hopwa",1737568400
"NJ-503","Camden City & County/Gloucester, Cape May, Cumberland Counties CoC","cdbg_entitlement",1717823700
"MA-500","Boston CoC","grrp_comp",1714895684.48873
"FL-605","West Palm Beach/Palm Beach County CoC","coc",1714815300
"CA-522","Humboldt County CoC","hcv",1712265700
"OK-507","Southeastern Oklahoma Regional CoC","hcv",1707100076.1007
"MA-506","Worcester City & County CoC","coc",1698887800
"TX-503","Austin/Travis County CoC","coc",1692208000
"UT-500","Salt Lake City & County CoC","cdbg_entitlement",1681237017.31637
"DC-500","District of Columbia CoC","coc",1681110900
"IN-502","Indiana Balance of State CoC","home",1670880100
"CA-606","Long Beach CoC","coc",1663607491.383
"OH-506","Akron/Summit County CoC","cdbg_entitlement",1661967600
"RI-500","Rhode Island Statewide CoC","elderly",1658060200
"IL-510","Chicago CoC","hud_hopwa",1654855646.66877
"OH-505","Dayton, Kettering/Montgomery County CoC","cdbg_entitlement",1651056631.74036
"CA-512","Daly City/San Mateo County CoC","elderly",1644931000
"AZ-501","Tucson/Pima County CoC","cdbg_entitlement",1629607100
"TN-501","Memphis/Shelby County CoC","coc",1624231900
"NV-500","Las Vegas/Clark County CoC","home",1618966300
"MA-510_&_MA-516_Shared_Jurisdiction","MA-510_&_MA-516_Shared_Jurisdiction","cdbg_entitlement",1617011511.61628
"TN-510","Murfreesboro/Rutherford County CoC","hcv",1611975000
NA,NA,"hcv",1610055200
"WA-504","Everett/Snohomish County CoC","coc",1609848000
"CA-505","Richmond/Contra Costa County CoC","cdbg_entitlement",1608785200
"PA-601","Western Pennsylvania CoC","cdbg_entitlement",1608103100
"NY-505","Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC","cdbg_entitlement",1604071800
"VA-504","Charlottesville CoC","hcv",1588254300
"MN-501","St. Paul/Ramsey County CoC","cdbg_entitlement",1582091000
"TN-512","Morristown/Blount, Sevier, Campbell, Cocke Counties CoC","hcv",1581158500
"HI-501","Honolulu City and County CoC","cdbg_entitlement",1576180800
"IL-504","Madison County CoC","hcv",1568430600
"WA-500","Seattle/King County CoC","home",1564882469.93874
"NJ-506","Jersey City, Bayonne/Hudson County CoC","coc",1548136400
"IL-520","Southern Illinois CoC","hcv",1546819600
"CA-609","San Bernardino City & County CoC","home",1544429200
"MI-506","Grand Rapids, Wyoming/Kent County CoC","coc",1542987300
"TN-504","Nashville-Davidson County CoC","coc",1541436000
"IN-502","Indiana Balance of State CoC","elderly",1533834000
"FL-510","Jacksonville-Duval, Clay Counties CoC","cdbg_entitlement",1520255900
"IL-511","Cook County CoC","hud_hopwa",1519912888.60436
"MD-600","Prince George's County CoC","coc",1517935300
"VA-500","Richmond/Henrico, Chesterfield, Hanover Counties CoC","cdbg_entitlement",1517397600
"TN-501","Memphis/Shelby County CoC","cdbg_entitlement",1516655200
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","hud_hopwa",1508017800
"OH-502","Cleveland/Cuyahoga County CoC","elderly",1503765100
"IA-500","Sioux City/Dakota, Woodbury Counties CoC","hcv",1500397900
"LA-509","Louisiana Balance of State CoC","coc",1500290600
"MI-504","Pontiac, Royal Oak/Oakland County CoC","cdbg_entitlement",1495659700
"CA-503","Sacramento City & County CoC","hud_hopwa",1490278400
"TN-503","Central Tennessee CoC","hcv",1486912100
"OH-501","Toledo/Lucas County CoC","cdbg_entitlement",1472867600
"PA-502","Upper Darby, Chester, Haverford/Delaware County CoC","cdbg_entitlement",1467598500
"WI-501","Milwaukee City & County CoC","home",1460776900
"NY-600","New York City CoC","hud_disability",1443839900
"NJ-515","Elizabeth/Union County CoC","cdbg_entitlement",1442951400
"CA-502","Oakland, Berkeley/Alameda County CoC","home",1441017900
"NJ-513","Somerset County CoC","hcv",1440996700
"MI-510","Saginaw City & County CoC","hcv",1413770600
"CA-600","Los Angeles City & County CoC","hud_disability",1403709084.19731
"FL-604","Monroe County CoC","hcv",1397432643.48153
"TX-500","San Antonio/Bexar County CoC","home",1396575600
"NC-505","Charlotte/Mecklenburg County CoC","coc",1390511000
"MO-503","St. Charles City & County, Lincoln, Warren Counties CoC","hcv",1384677100
"MI-502","Dearborn, Dearborn Heights, Westland/Wayne County CoC","home",1374288972.59154
"VA-508","Lynchburg CoC","hcv",1373668400
"WA-501","Washington Balance of State CoC","cdbg_entitlement",1373487161.99564
"AR-501","Fayetteville/Northwest Arkansas CoC","hcv",1370355577.22803
"CA-600","Los Angeles City & County CoC","hud_esg",1367897114.00427
"CA-608","Riverside City & County CoC","elderly",1347565100
"CA-502","Oakland, Berkeley/Alameda County CoC","elderly",1344495900
"CA-511","Stockton/San Joaquin County CoC","coc",1340372600
"CA-604","Bakersfield/Kern County CoC","coc",1329356800
"CA-511","Stockton/San Joaquin County CoC","cdbg_entitlement",1327908200
"NJ-514","Trenton/Mercer County CoC","coc",1326839700
"IL-516","Decatur/Macon County CoC","hcv",1326544400
"ME-500","Maine Balance of State CoC","coc",1324431600
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","home",1322143500
"NC-505","Charlotte/Mecklenburg County CoC","cdbg_entitlement",1317621700
"MI-504","Pontiac, Royal Oak/Oakland County CoC","coc",1311237200
"MA-504","Springfield/Hampden County CoC","cdbg_entitlement",1308337100
"FL-502","St. Petersburg, Clearwater, Largo/Pinellas County CoC","coc",1307834800
"IA-501","Iowa Balance of State CoC","cdbg_entitlement",1306426100
"NC-503","North Carolina Balance of State CoC","home",1300487000
"CA-503","Sacramento City & County CoC","home",1295954300
"CA-609","San Bernardino City & County CoC","elderly",1292843400
"TX-624","Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC","hcv",1289558800
"WA-500","Seattle/King County CoC","elderly",1284339731.51906
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","elderly",1282913300
"GA-502","Fulton County CoC","coc",1280427840.69628
"CA-601","San Diego City and County CoC","elderly",1278423600
"FL-601","Ft Lauderdale/Broward County CoC","home",1278298800
"NY-508","Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","home",1273452868.82952
"TX-603","El Paso City & County CoC","cdbg_entitlement",1272325500
"MN-511","Southwest Minnesota CoC","hcv",1269546200
"OH-507","Ohio Balance of State CoC","coc",1264421121.67152
"SC-501","Greenville, Anderson, Spartanburg/Upstate CoC","cdbg_entitlement",1250437900
"VA-513","Harrisonburg, Winchester/Western Virginia CoC","hcv",1239062700
"GA-501","Georgia Balance of State CoC","home",1236449990.56755
"NC-503","North Carolina Balance of State CoC","cdbg_entitlement",1232587400
"TX-601","Fort Worth, Arlington/Tarrant County CoC","home",1231204833.97203
"FL-502","St. Petersburg, Clearwater, Largo/Pinellas County CoC","cdbg_entitlement",1227564100
"PA-503","Wilkes-Barre, Hazleton/Luzerne County CoC","cdbg_entitlement",1225274600
"FL-501","Tampa/Hillsborough County CoC","hud_hopwa",1221411500
"OK-504","Norman/Cleveland County CoC","hcv",1213988072.34473
"NJ-511","Paterson/Passaic County CoC","cdbg_entitlement",1211296900
"FL-510","Jacksonville-Duval, Clay Counties CoC","coc",1210126200
"OH-503","Columbus/Franklin County CoC","home",1208055900
"VA-501","Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC","cdbg_entitlement",1207515800
"WA-503","Tacoma, Lakewood/Pierce County CoC","cdbg_entitlement",1206349941.79646
"OH-506","Akron/Summit County CoC","coc",1201154000
"NY-508","Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","elderly",1197115942.98119
"ME-500","Maine Balance of State CoC","cdbg_entitlement",1196916200
"IA-502","Des Moines/Polk County CoC","coc",1195167300
"CA-601","San Diego City and County CoC","hud_hopwa",1186086300
"MO-500","St. Louis County CoC","cdbg_entitlement",1184456100
"MI-506","Grand Rapids, Wyoming/Kent County CoC","cdbg_entitlement",1180276800
"NJ-501","Bergen County CoC","coc",1179666100
"MO-606","Missouri Balance of State CoC","coc",1176574336.37335
"GA-508","DeKalb County CoC","hud_hopwa",1174717767.90228
"CA-611","Oxnard, San Buenaventura/Ventura County CoC","cdbg_entitlement",1173814400
"AL-502","Florence/Northwest Alabama CoC","hcv",1169283100
"MI-505","Flint/Genesee County CoC","cdbg_entitlement",1160527300
"VA-601","Fairfax County CoC","cdbg_entitlement",1160139500
"MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","hcv",1159880200
"PA-504","Lower Merion, Norristown, Abington/Montgomery County CoC","cdbg_entitlement",1159010400
"FL-601","Ft Lauderdale/Broward County CoC","hud_hopwa",1158232900
"PA-600","Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","home",1157576400
"SC-502","Columbia/Midlands CoC","hud_hopwa",1150420100
"GA-502","Fulton County CoC","cdbg_entitlement",1142320681.0723
"FL-501","Tampa/Hillsborough County CoC","coc",1138776600
"AZ-502","Phoenix, Mesa/Maricopa County CoC","hud_hopwa",1138534700
"NC-507","Raleigh/Wake County CoC","cdbg_entitlement",1135412100
"MD-507","Cecil County CoC","hcv",1129848200
"NJ-504","Newark/Essex County CoC","home",1127802300
"NE-501","Omaha, Council Bluffs CoC","cdbg_entitlement",1125128600
"CA-505","Richmond/Contra Costa County CoC","elderly",1121763200
"NJ-504","Newark/Essex County CoC","hud_hopwa",1114786900
"IL-509","DeKalb City & County CoC","hcv",1109801500
"OK-500","North Central Oklahoma CoC","hcv",1105531084.02125
"MA-506","Worcester City & County CoC","cdbg_entitlement",1104971900
"FL-606","Naples/Collier County CoC","hcv",1102635300
"NC-513","Chapel Hill/Orange County CoC","hcv",1094547600
"NY-603","Nassau, Suffolk Counties CoC","home",1094464700
"CA-512","Daly City/San Mateo County CoC","cdbg_entitlement",1094252800
"MI-509","Washtenaw County CoC","coc",1092768000
"CA-500","San Jose/Santa Clara City & County CoC","home",1087482700
"AZ-502","Phoenix, Mesa/Maricopa County CoC","elderly",1086549400
"NC-507","Raleigh/Wake County CoC","hud_hopwa",1086325600
"MA-500","Boston CoC","home",1085349247.21363
"CA-501","San Francisco CoC","home",1083292800
"GA-500","Atlanta CoC","coc",1076370177.37219
"MD-601","Montgomery County CoC","cdbg_entitlement",1074109800
"MD-600","Prince George's County CoC","cdbg_entitlement",1073538400
"IN-503","Indianapolis CoC","hud_hopwa",1064375000
"NJ-507","New Brunswick/Middlesex County CoC","cdbg_entitlement",1062479700
"MA-510","Gloucester, Haverhill, Salem/Essex County CoC","cdbg_entitlement",1061713505.0126
"SC-502","Columbia/Midlands CoC","cdbg_entitlement",1059384700
"CO-500","Colorado Balance of State CoC","cdbg_entitlement",1054835500
"OH-508","Canton, Massillon, Alliance/Stark County CoC","cdbg_entitlement",1051988600
"PA-600","Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","elderly",1051742300
"HI-500","Hawaii Balance of State CoC","cdbg_entitlement",1050471500
"NJ-508","Monmouth County CoC","coc",1042140700
"OH-503","Columbus/Franklin County CoC","hud_hopwa",1040092700
"CA-606","Long Beach CoC","cdbg_entitlement",1039754682.11437
"NJ-504","Newark/Essex County CoC","coc",1034954000
"NJ-506","Jersey City, Bayonne/Hudson County CoC","home",1032833700
"RI-500","Rhode Island Statewide CoC","grrp_leading",1.032e+09
"MI-503","St. Clair Shores, Warren/Macomb County CoC","cdbg_entitlement",1029423800
"CA-608","Riverside City & County CoC","home",1028332900
"NJ-503","Camden City & County/Gloucester, Cape May, Cumberland Counties CoC","elderly",1026819300
"OR-500","Eugene, Springfield/Lane County CoC","coc",1026642400
"FL-501","Tampa/Hillsborough County CoC","home",1025126100
"NY-608","Kingston/Ulster County CoC","hcv",1017486700
"OH-507","Ohio Balance of State CoC","home",1013761512.88763
"CA-507","Marin County CoC","coc",1011276900
"CA-514","Fresno City & County/Madera County CoC","home",1007447000
"CA-508","Watsonville/Santa Cruz City & County CoC","coc",1007125300
"MD-505","Baltimore County CoC","grrp_leading",1e+09
"MD-513","Wicomico, Somerset, Worcester Counties CoC","grrp_leading",1e+09
"MI-504","Pontiac, Royal Oak/Oakland County CoC","grrp_leading",1e+09
"TN-504","Nashville-Davidson County CoC","cdbg_entitlement",999622900
"IL-514","Dupage County CoC","coc",998527818.100648
"AR-512","Boone, Baxter, Marion, Newton Counties CoC","hcv",993846800
"DE-500","Delaware Statewide CoC","cdbg_entitlement",989898900
"OK-501","Tulsa City & County CoC","cdbg_entitlement",988919000
"IL-506","Joliet, Bolingbrook/Will County CoC","coc",985835553.625007
"NY-507","Schenectady City & County CoC","coc",979694900
"MO-500","St. Louis County CoC","elderly",978325100
"FL-503","Lakeland, Winterhaven/Polk County CoC","cdbg_entitlement",977521200
"MA-511","Quincy, Brockton, Weymouth, Plymouth City and County CoC","coc",974037997.453192
"NE-501","Omaha, Council Bluffs CoC","coc",971319500
"CA-602","Santa Ana, Anaheim/Orange County CoC","hud_hopwa",968897600
"RI-500","Rhode Island Statewide CoC","hud_disability",968361500
"VA-500","Richmond/Henrico, Chesterfield, Hanover Counties CoC","coc",966799200
"WA-502","Spokane City & County CoC","cdbg_entitlement",962397000
"FL-603","Ft Myers, Cape Coral/Lee County CoC","cdbg_entitlement",958516500
"CA-510","Turlock, Modesto/Stanislaus County CoC","cdbg_entitlement",956675600
"MD-501","Baltimore CoC","home",943849200
"PA-509","Eastern Pennsylvania CoC","home",942362900
"PA-506","Reading/Berks County CoC","cdbg_entitlement",941266400
"MN-500","Minneapolis/Hennepin County CoC","home",941214600
"TN-501","Memphis/Shelby County CoC","home",936404600
"OH-500","Cincinnati/Hamilton County CoC","home",935421987.112366
"NJ-515","Elizabeth/Union County CoC","coc",929805600
"GA-508","DeKalb County CoC","cdbg_entitlement",927952740.81989
"PA-501","Harrisburg/Dauphin County CoC","coc",925970400
"GA-501","Georgia Balance of State CoC","elderly",924073320.650537
"KS-503","Topeka/Shawnee County CoC","hcv",922758600
"IN-503","Indianapolis CoC","home",916302400
"OR-506","Hillsboro, Beaverton/Washington County CoC","coc",915481900
"MD-501","Baltimore CoC","elderly",910198600
"LA-503","New Orleans/Jefferson Parish CoC","home",907992800
"MI-505","Flint/Genesee County CoC","hcv",907638600
"WA-501","Washington Balance of State CoC","home",905675900.914889
"MO-602","Joplin/Jasper, Newton Counties CoC","hcv",905338600
"MA-516","Massachusetts Balance of State CoC","elderly",897869231.342951
"FL-501","Tampa/Hillsborough County CoC","elderly",896927800
"PA-510","Lancaster City & County CoC","cdbg_entitlement",896208600
"WV-500","Wheeling, Weirton Area CoC","hcv",895445700
"NY-503","Albany City & County CoC","coc",892652800
"NC-507","Raleigh/Wake County CoC","coc",890778600
"NY-603","Nassau, Suffolk Counties CoC","elderly",889193300
"CA-525","El Dorado County CoC","hcv",888404700
"AZ-500","Arizona Balance of State CoC","cdbg_entitlement",885313651.266084
"VA-514","Fredericksburg/Spotsylvania, Stafford Counties CoC","grrp_leading",8.82e+08
"MN-503","Dakota, Anoka, Washington, Scott, Carver Counties CoC","cdbg_entitlement",879737500
"GA-500","Atlanta CoC","cdbg_entitlement",879313428.74551
"WA-504","Everett/Snohomish County CoC","cdbg_entitlement",879224900
"NM-500","Albuquerque CoC","coc",878666464.333402
"PA-502","Upper Darby, Chester, Haverford/Delaware County CoC","coc",877814800
"TN-504","Nashville-Davidson County CoC","hud_hopwa",877527700
"SC-500","Charleston/Low Country CoC","cdbg_entitlement",876825200
"FL-500","Sarasota, Bradenton/Manatee, Sarasota Counties CoC","cdbg_entitlement",876756200
"TN-501","Memphis/Shelby County CoC","hud_hopwa",874634400
"FL-601","Ft Lauderdale/Broward County CoC","elderly",874504200
"CA-502","Oakland, Berkeley/Alameda County CoC","hud_hopwa",867562900
"MN-509","Duluth/St. Louis County CoC","cdbg_entitlement",866388700
"MI-501","Detroit CoC","home",866345227.40846
"CA-603","Santa Maria/Santa Barbara County CoC","cdbg_entitlement",866285800
"MA-519","Attleboro, Taunton/Bristol County CoC","cdbg_entitlement",863924207.239921
"TX-607","Texas Balance of State CoC","elderly",861566485.464379
"MD-505","Baltimore County CoC","cdbg_entitlement",859807900
"NY-604","Yonkers, Mount Vernon/Westchester County CoC","elderly",852741110.891478
"CA-608","Riverside City & County CoC","hud_hopwa",852031700
"NM-501","New Mexico Balance of State CoC","coc",851744935.666598
"RI-500","Rhode Island Statewide CoC","coc",849882100
"CA-506","Salinas/Monterey, San Benito Counties CoC","coc",848023100
"MI-503","St. Clair Shores, Warren/Macomb County CoC","hcv",839558500
"NY-603","Nassau, Suffolk Counties CoC","hud_disability",839413100
"OH-507","Ohio Balance of State CoC","hud_disability",838253106.221428
"NY-602","Newburgh, Middletown/Orange County CoC","cdbg_entitlement",833459000
"CO-504","Colorado Springs/El Paso County CoC","cdbg_entitlement",831423500
"NJ-511","Paterson/Passaic County CoC","coc",830588500
"WI-503","Madison/Dane County CoC","coc",830289700
"MO-604","Kansas City (MO&KS), Independence, Lee’s Summit/Jackson, Wyandotte Counties CoC","home",828213600
"WI-500","Wisconsin Balance of State CoC","home",826810600
"NY-500","Rochester, Irondequoit, Greece/Monroe County CoC","home",826463500
"IL-514","Dupage County CoC","cdbg_entitlement",826333198.610785
"MS-500","Jackson/Rankin, Madison Counties CoC","hud_hopwa",822566600
"OK-502","Oklahoma City CoC","cdbg_entitlement",822110133.365574
"MO-500","St. Louis County CoC","home",821658000
"IN-502","Indiana Balance of State CoC","coc",820743500
"IA-502","Des Moines/Polk County CoC","cdbg_entitlement",819795600
"IL-510","Chicago CoC","hud_esg",817483574.861281
"OR-505","Oregon Balance of State CoC","cdbg_entitlement",815130800
"WA-503","Tacoma, Lakewood/Pierce County CoC","coc",813063513.62295
"NJ-504","Newark/Essex County CoC","elderly",812536400
"AL-504","Montgomery City & County CoC","hud_hopwa",811246300
"SC-502","Columbia/Midlands CoC","coc",810502200
"MA-504","Springfield/Hampden County CoC","coc",809503400
"TX-607","Texas Balance of State CoC","coc",808470401.180306
"AL-501","Mobile City & County/Baldwin County CoC","cdbg_entitlement",805487900
"CA-510","Turlock, Modesto/Stanislaus County CoC","coc",803128600
"OR-501","Portland, Gresham/Multnomah County CoC","home",802057200
"PA-603","Beaver County CoC","hcv",800561900
"KY-500","Kentucky Balance of State CoC","cdbg_entitlement",794397500
"IL-510","Chicago CoC","hud_disability",791871790.02062
"DE-500","Delaware Statewide CoC","coc",790047200
"OK-501","Tulsa City & County CoC","coc",789652801.163488
"DC-500","District of Columbia CoC","grrp_leading",7.86e+08
"PA-503","Wilkes-Barre, Hazleton/Luzerne County CoC","coc",785334200
"MI-514","Battle Creek/Calhoun County CoC","hcv",783086000
"MA-500","Boston CoC","hud_hopwa",782309773.573274
"NJ-503","Camden City & County/Gloucester, Cape May, Cumberland Counties CoC","coc",779497100
"NY-512","Troy/Rensselaer County CoC","coc",777636100
"LA-509","Louisiana Balance of State CoC","cdbg_entitlement",775780900
"CA-505","Richmond/Contra Costa County CoC","home",774463500
"GA-506","Marietta/Cobb County CoC","cdbg_entitlement",772697500
"TX-700","Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC","hud_esg",771171023.972765
"IL-517","Aurora, Elgin/Kane County CoC","cdbg_entitlement",770796906.485962
"CA-506","Salinas/Monterey, San Benito Counties CoC","cdbg_entitlement",768903200
"PA-500","Philadelphia CoC","hud_esg",768211700
"CA-604","Bakersfield/Kern County CoC","home",766857000
"AZ-501","Tucson/Pima County CoC","home",766460400
"KY-500","Kentucky Balance of State CoC","coc",760962400
"NY-604","Yonkers, Mount Vernon/Westchester County CoC","home",760491300
"OR-507","Clackamas County CoC","coc",760229600
"OK-502","Oklahoma City CoC","coc",759006685.114003
"TX-600","Dallas City & County, Irving CoC","elderly",758013355.891661
"IL-502","Waukegan, North Chicago/Lake County CoC","cdbg_entitlement",756627989.885018
"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","coc",752044700
"IL-511","Cook County CoC","hud_esg",750085094.152949
"IA-501","Iowa Balance of State CoC","grrp_leading",7.5e+08
"LA-502","Shreveport, Bossier/Northwest Louisiana CoC","coc",747802100
"WI-500","Wisconsin Balance of State CoC","coc",742961800
"SC-502","Columbia/Midlands CoC","home",741626100
"OH-501","Toledo/Lucas County CoC","coc",739629100
"ME-500","Maine Balance of State CoC","elderly",739508000
"UT-504","Provo/Mountainland CoC","cdbg_entitlement",739143082.683626
"KY-500","Kentucky Balance of State CoC","grrp_comp",7.36e+08
"NJ-508","Monmouth County CoC","cdbg_entitlement",730654600
"TX-503","Austin/Travis County CoC","home",730642459.840936
"FL-504","Daytona Beach, Daytona/Volusia, Flagler Counties CoC","cdbg_entitlement",730589300
"NE-502","Lincoln CoC","coc",730494525.451514
"FL-510","Jacksonville-Duval, Clay Counties CoC","home",729942400
"PA-512","York City & County CoC","cdbg_entitlement",729435200
"IL-511","Cook County CoC","hud_disability",727902541.698245
"TX-500","San Antonio/Bexar County CoC","elderly",727361700
"FL-605","West Palm Beach/Palm Beach County CoC","elderly",726890500
"AK-500","Anchorage CoC","coc",723693700
"OR-505","Oregon Balance of State CoC","coc",720355500
"NJ-503","Camden City & County/Gloucester, Cape May, Cumberland Counties CoC","home",720270800
"OH-505","Dayton, Kettering/Montgomery County CoC","elderly",718716419.07158
"MN-500","Minneapolis/Hennepin County CoC","hud_hopwa",716900400
"GA-507","Savannah/Chatham County CoC","coc",715676300
"AL-501","Mobile City & County/Baldwin County CoC","coc",712837000
"PA-504","Lower Merion, Norristown, Abington/Montgomery County CoC","coc",712604300
"IL-508","East St. Louis, Belleville/St. Clair County CoC","cdbg_entitlement",710627800
"NY-503","Albany City & County CoC","cdbg_entitlement",707841800
"NM-501","New Mexico Balance of State CoC","cdbg_entitlement",706579594.040994
"KY-501","Louisville-Jefferson County CoC","home",705852700
"TN-507","Jackson/West Tennessee CoC","grrp_comp",7.04e+08
"VA-500","Richmond/Henrico, Chesterfield, Hanover Counties CoC","hud_hopwa",701903800
"NC-505","Charlotte/Mecklenburg County CoC","home",699312600
"PA-501","Harrisburg/Dauphin County CoC","hud_hopwa",696208800
"VA-501","Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC","coc",695911300
"IL-508","East St. Louis, Belleville/St. Clair County CoC","coc",694164608.106103
"IL-519","West Central Illinois CoC","hcv",693521400
"NC-505","Charlotte/Mecklenburg County CoC","hud_hopwa",692706900
"CA-612","Glendale CoC","coc",692631663.725975
"MN-509","Duluth/St. Louis County CoC","coc",692163700
"OH-504","Youngstown/Mahoning County CoC","cdbg_entitlement",690818600
"NH-500","New Hampshire Balance of State CoC","elderly",688191700
"PA-501","Harrisburg/Dauphin County CoC","cdbg_entitlement",686589400
"OR-506","Hillsboro, Beaverton/Washington County CoC","cdbg_entitlement",684214800
"CA-513","Visalia/Kings, Tulare Counties CoC","coc",680871600
"NJ-510","Lakewood Township/Ocean County CoC","cdbg_entitlement",680721200
"VA-521","Virginia Balance of State CoC","cdbg_entitlement",679810400
"FL-605","West Palm Beach/Palm Beach County CoC","hud_hopwa",679622300
"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","cdbg_entitlement",679036900
"MA-510_&_MA-516_Shared_Jurisdiction","MA-510_&_MA-516_Shared_Jurisdiction","home",678689942.146069
"NY-518","Utica, Rome/Oneida, Madison Counties CoC","cdbg_entitlement",676139500
"MA-519","Attleboro, Taunton/Bristol County CoC","coc",676117681.195168
"MO-501","St. Louis City CoC","elderly",675108500
"MN-500","Minneapolis/Hennepin County CoC","elderly",674054300
"SC-502","Columbia/Midlands CoC","hud_disability",673895200
"NM-500","Albuquerque CoC","cdbg_entitlement",670887005.959006
"VA-500","Richmond/Henrico, Chesterfield, Hanover Counties CoC","home",669468700
"MA-516","Massachusetts Balance of State CoC","home",668174927.184313
"MI-502","Dearborn, Dearborn Heights, Westland/Wayne County CoC","elderly",665936131.940441
"MN-503","Dakota, Anoka, Washington, Scott, Carver Counties CoC","coc",664927595.418945
"NV-500","Las Vegas/Clark County CoC","hud_hopwa",664354100
