"state","county","GEOID","total_county_pop","Organization","Spending"
"AZ","Coconino County",4005,142254,"cdbg_entitlement",1072830
"AZ","Coconino County",4005,142254,"hcv",11549358
"AZ","Gila County",4007,53846,"hcv",1280294
"AZ","Maricopa County",4013,4412779,"cdbg_entitlement",65777807
"AZ","Maricopa County",4013,4412779,"coc",75018464
"AZ","Maricopa County",4013,4412779,"elderly",10865494
"AZ","Maricopa County",4013,4412779,"hcv",3.61e+08
"AZ","Maricopa County",4013,4412779,"home",26797655
"AZ","Maricopa County",4013,4412779,"hud_disability",3672544
"AZ","Maricopa County",4013,4412779,"hud_esg",4747996
"AZ","Maricopa County",4013,4412779,"hud_hopwa",11385347
"AZ","Mohave County",4015,210998,"elderly",385407
"AZ","Mohave County",4015,210998,"hcv",6268530
"AZ","Navajo County",4017,110271,"hcv",2322524
"AZ","Pima County",4019,1038476,"cdbg_entitlement",16296071
"AZ","Pima County",4019,1038476,"coc",20728807
"AZ","Pima County",4019,1038476,"elderly",4399125
"AZ","Pima County",4019,1038476,"hcv",1e+08
"AZ","Pima County",4019,1038476,"home",7664604
"AZ","Pima County",4019,1038476,"hud_disability",590651
"AZ","Pima County",4019,1038476,"hud_esg",1450679
"AZ","Pima County",4019,1038476,"hud_hopwa",3393984
"AZ","Pinal County",4021,447559,"cdbg_entitlement",4696712
"AZ","Pinal County",4021,447559,"hcv",16407111
"AZ","Pinal County",4021,447559,"home",1221090
"AZ","Pinal County",4021,447559,"hud_esg",154171
"AZ","Santa Cruz County",4023,46594,"elderly",152389
"AZ","Santa Cruz County",4023,46594,"hcv",1994374
"AZ","Yavapai County",4025,232396,"cdbg_entitlement",494280
"AZ","Yavapai County",4025,232396,"elderly",292538
"AZ","Yuma County",4027,211931,"cdbg_entitlement",1806882
"AZ","Yuma County",4027,211931,"elderly",400314
"AZ","Yuma County",4027,211931,"hcv",28805248
"AZ","Yuma County",4027,211931,"home",789893
"CA","Alameda County",6001,1661584,"cdbg_entitlement",37560159
"CA","Alameda County",6001,1661584,"coc",80630064
"CA","Alameda County",6001,1661584,"elderly",13444959
"CA","Alameda County",6001,1661584,"hcv",1.14e+09
"CA","Alameda County",6001,1661584,"home",14410179
"CA","Alameda County",6001,1661584,"hud_disability",3666124
"CA","Alameda County",6001,1661584,"hud_esg",2447697
"CA","Alameda County",6001,1661584,"hud_hopwa",8675629
"CA","Alpine County",6003,1159,"coc",16667
"CA","Amador County",6005,39023,"coc",228939
"CA","Butte County",6007,223344,"cdbg_entitlement",2009650
"CA","Butte County",6007,223344,"coc",1004719
"CA","Butte County",6007,223344,"elderly",1420945
"CA","Butte County",6007,223344,"hcv",35822213
"CA","Butte County",6007,223344,"home",1188359
"CA","Butte County",6007,223344,"hud_disability",47095
"CA","Calaveras County",6009,45828,"coc",296988
"CA","Colusa County",6011,21491,"coc",16667
"CA","Colusa County",6011,21491,"elderly",378671
"CA","Contra Costa County",6013,1147788,"cdbg_entitlement",16087852
"CA","Contra Costa County",6013,1147788,"coc",30354767
"CA","Contra Costa County",6013,1147788,"elderly",11217632
"CA","Contra Costa County",6013,1147788,"hcv",4.4e+08
"CA","Contra Costa County",6013,1147788,"home",7744635
"CA","Contra Costa County",6013,1147788,"hud_disability",619754
"CA","Contra Costa County",6013,1147788,"hud_esg",797277
"CA","Del Norte County",6015,27692,"coc",66284
"CA","Del Norte County",6015,27692,"elderly",746950
"CA","Del Norte County",6015,27692,"hcv",7444641
"CA","El Dorado County",6017,190345,"coc",273182
"CA","El Dorado County",6017,190345,"elderly",1765982
"CA","El Dorado County",6017,190345,"hcv",8884047
"CA","El Dorado County",6017,190345,"hud_disability",217545
"CA","Fresno County",6019,990204,"cdbg_entitlement",21373688
"CA","Fresno County",6019,990204,"coc",11781862
"CA","Fresno County",6019,990204,"elderly",3971958
"CA","Fresno County",6019,990204,"hcv",2.3e+08
"CA","Fresno County",6019,990204,"home",10074470
"CA","Fresno County",6019,990204,"hud_disability",665847
"CA","Fresno County",6019,990204,"hud_esg",1768159
"CA","Fresno County",6019,990204,"hud_hopwa",2580393
"CA","Glenn County",6021,28060,"coc",16667
"CA","Humboldt County",6023,136101,"coc",1209974
"CA","Humboldt County",6023,136101,"elderly",418792
"CA","Humboldt County",6023,136101,"hcv",17122657
"CA","Imperial County",6025,180580,"cdbg_entitlement",1126700
"CA","Imperial County",6025,180580,"coc",402958
"CA","Imperial County",6025,180580,"hcv",24191208
"CA","Inyo County",6027,17930,"coc",16667
"CA","Kern County",6029,892458,"cdbg_entitlement",17954509
"CA","Kern County",6029,892458,"coc",13293568
"CA","Kern County",6029,892458,"elderly",1786799
"CA","Kern County",6029,892458,"hcv",65107523
"CA","Kern County",6029,892458,"home",7668570
"CA","Kern County",6029,892458,"hud_disability",317942
"CA","Kern County",6029,892458,"hud_esg",1471097
"CA","Kern County",6029,892458,"hud_hopwa",2011733
"CA","Kings County",6031,151090,"cdbg_entitlement",1044079
"CA","Kings County",6031,151090,"coc",1731782
"CA","Kings County",6031,151090,"hcv",9042462
"CA","Lake County",6033,64276,"coc",97184
"CA","Lake County",6033,64276,"elderly",416934
"CA","Lake County",6033,64276,"hcv",3594851
"CA","Lake County",6033,64276,"hud_disability",97698
"CA","Lassen County",6035,30600,"coc",66284
"CA","Lassen County",6035,30600,"elderly",433188
"CA","Los Angeles County",6037,10040682,"cdbg_entitlement",2.2e+08
"CA","Los Angeles County",6037,10040682,"coc",3.52e+08
"CA","Los Angeles County",6037,10040682,"elderly",52209912
"CA","Los Angeles County",6037,10040682,"grrp_elements",331635
"CA","Los Angeles County",6037,10040682,"hcv",2.87e+09
"CA","Los Angeles County",6037,10040682,"home",1.16e+08
"CA","Los Angeles County",6037,10040682,"hud_disability",15267642
"CA","Los Angeles County",6037,10040682,"hud_esg",14878128
"CA","Los Angeles County",6037,10040682,"hud_hopwa",50312187
"CA","Madera County",6039,155925,"cdbg_entitlement",1903740
"CA","Madera County",6039,155925,"coc",6369311
"CA","Madera County",6039,155925,"hcv",12101409
"CA","Marin County",6041,259441,"cdbg_entitlement",3219742
"CA","Marin County",6041,259441,"coc",10112769
"CA","Marin County",6041,259441,"elderly",2035011
"CA","Marin County",6041,259441,"hcv",1.27e+08
"CA","Marin County",6041,259441,"home",1701123
"CA","Marin County",6041,259441,"hud_disability",1465634
"CA","Mariposa County",6043,17319,"coc",189822
"CA","Mendocino County",6045,87110,"coc",3820512
"CA","Mendocino County",6045,87110,"elderly",231767
"CA","Mendocino County",6045,87110,"hcv",18011911
"CA","Mendocino County",6045,87110,"hud_disability",113264
"CA","Merced County",6047,273661,"cdbg_entitlement",2134284
"CA","Merced County",6047,273661,"coc",1617589
"CA","Merced County",6047,273661,"hcv",45706104
"CA","Merced County",6047,273661,"home",1176392
"CA","Modoc County",6049,8853,"coc",66284
"CA","Modoc County",6049,8853,"grrp_comp",5120000
"CA","Mono County",6051,14395,"coc",16667
"CA","Monterey County",6053,432977,"cdbg_entitlement",7689032
"CA","Monterey County",6053,432977,"coc",4536187
"CA","Monterey County",6053,432977,"hcv",1.48e+08
"CA","Monterey County",6053,432977,"home",1723248
"CA","Monterey County",6053,432977,"hud_disability",931216
"CA","Monterey County",6053,432977,"hud_esg",361167
"CA","Napa County",6055,138572,"cdbg_entitlement",1188801
"CA","Napa County",6055,138572,"coc",1604648
"CA","Napa County",6055,138572,"elderly",1113045
"CA","Napa County",6055,138572,"hcv",30785658
"CA","Napa County",6055,138572,"hud_disability",177892
"CA","Nevada County",6057,99417,"coc",434222
"CA","Orange County",6059,3170345,"cdbg_entitlement",54468389
"CA","Orange County",6059,3170345,"coc",57904551
"CA","Orange County",6059,3170345,"elderly",819725
"CA","Orange County",6059,3170345,"hcv",7.76e+08
"CA","Orange County",6059,3170345,"home",18896518
"CA","Orange County",6059,3170345,"hud_disability",866466
"CA","Orange County",6059,3170345,"hud_esg",2989493
"CA","Orange County",6059,3170345,"hud_hopwa",9688976
"CA","Placer County",6061,391799,"cdbg_entitlement",1990082
"CA","Placer County",6061,391799,"coc",3041566
"CA","Placer County",6061,391799,"elderly",1561398
"CA","Placer County",6061,391799,"hcv",23811123
"CA","Plumas County",6063,18844,"coc",66284
"CA","Plumas County",6063,18844,"hcv",8500156
"CA","Riverside County",6065,2437864,"cdbg_entitlement",39619573
"CA","Riverside County",6065,2437864,"coc",25350652
"CA","Riverside County",6065,2437864,"elderly",13475651
"CA","Riverside County",6065,2437864,"hcv",2.01e+08
"CA","Riverside County",6065,2437864,"home",10283329
"CA","Riverside County",6065,2437864,"hud_disability",795714
"CA","Riverside County",6065,2437864,"hud_esg",2106532
"CA","Riverside County",6065,2437864,"hud_hopwa",8520317
"CA","Sacramento County",6067,1537948,"cdbg_entitlement",25120609
"CA","Sacramento County",6067,1537948,"coc",59232328
"CA","Sacramento County",6067,1537948,"elderly",1881571
"CA","Sacramento County",6067,1537948,"hcv",3.24e+08
"CA","Sacramento County",6067,1537948,"home",12959543
"CA","Sacramento County",6067,1537948,"hud_disability",1061848
"CA","Sacramento County",6067,1537948,"hud_esg",1822443
"CA","Sacramento County",6067,1537948,"hud_hopwa",14902784
"CA","San Benito County",6069,61547,"coc",3944044
"CA","San Bernardino County",6071,2162532,"cdbg_entitlement",41064405
"CA","San Bernardino County",6071,2162532,"coc",19708967
"CA","San Bernardino County",6071,2162532,"elderly",12928434
"CA","San Bernardino County",6071,2162532,"hcv",2.88e+08
"CA","San Bernardino County",6071,2162532,"home",15444292
"CA","San Bernardino County",6071,2162532,"hud_disability",387344
"CA","San Bernardino County",6071,2162532,"hud_esg",2469387
"CA","San Diego County",6073,3323970,"cdbg_entitlement",52736341
"CA","San Diego County",6073,3323970,"coc",61933270
"CA","San Diego County",6073,3323970,"elderly",12784236
"CA","San Diego County",6073,3323970,"hcv",1.01e+09
"CA","San Diego County",6073,3323970,"home",26017718
"CA","San Diego County",6073,3323970,"hud_disability",2316655
"CA","San Diego County",6073,3323970,"hud_esg",3235745
"CA","San Diego County",6073,3323970,"hud_hopwa",11860863
"CA","San Francisco County",6075,874784,"cdbg_entitlement",37040938
"CA","San Francisco County",6075,874784,"coc",97023019
"CA","San Francisco County",6075,874784,"elderly",18428488
"CA","San Francisco County",6075,874784,"hcv",7.99e+08
"CA","San Francisco County",6075,874784,"home",10832928
"CA","San Francisco County",6075,874784,"hud_disability",2773389
"CA","San Francisco County",6075,874784,"hud_esg",3190089
"CA","San Francisco County",6075,874784,"hud_hopwa",23459597
"CA","San Joaquin County",6077,751615,"cdbg_entitlement",13279082
"CA","San Joaquin County",6077,751615,"coc",13403726
"CA","San Joaquin County",6077,751615,"elderly",353301
"CA","San Joaquin County",6077,751615,"hcv",1.06e+08
"CA","San Joaquin County",6077,751615,"home",6149545
"CA","San Joaquin County",6077,751615,"hud_esg",1046148
"CA","San Luis Obispo County",6079,282517,"cdbg_entitlement",3479790
"CA","San Luis Obispo County",6079,282517,"coc",1944253
"CA","San Luis Obispo County",6079,282517,"elderly",992708
"CA","San Luis Obispo County",6079,282517,"hcv",73954109
"CA","San Luis Obispo County",6079,282517,"home",1903333
"CA","San Luis Obispo County",6079,282517,"hud_disability",102290
"CA","San Luis Obispo County",6079,282517,"hud_esg",313155
"CA","San Mateo County",6081,765623,"cdbg_entitlement",10942528
"CA","San Mateo County",6081,765623,"coc",28293094
"CA","San Mateo County",6081,765623,"elderly",16449310
"CA","San Mateo County",6081,765623,"hcv",2.5e+08
"CA","San Mateo County",6081,765623,"home",4446253
"CA","San Mateo County",6081,765623,"hud_disability",566182
"CA","San Mateo County",6081,765623,"hud_esg",455083
"CA","Santa Barbara County",6083,444895,"cdbg_entitlement",8662858
